% Model:              hydro_005.mph
% Version:            COMSOL 5.4.0.225
% Date:               Apr 16 2025, 10:51
% Dimension:          3
% Nodes:              3184
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% x                       y                        z                        u2 (m/s) @ t=1           v2 (m/s) @ t=1           w2 (m/s) @ t=1           p2 (Pa) @ t=1
5.0E-4                    7.150491480916309E-5     4.364694225064825E-4     -4.99691525063919E-10    3.135645537651827E-11    -1.5487598556278425E-9   0.10711541844137452
5.0E-4                    0                        5.0E-4                   -4.816171787953225E-10   -5.5934158923646295E-15  -1.4448000782150869E-9   0.10711543226524667
3.524137212648716E-4      8.01313138055385E-5      5.0E-4                   -1.4974094695260167E-10  2.260766294009687E-11    -1.8290891522261576E-9   0.10711540710472935
4.068817092082605E-4      1.0258003898930057E-4    4.1695916867035525E-4    -3.1025361703537355E-10  1.4788970558094072E-11   -1.8174989337957194E-9   0.10711537984490459
3.998270444549594E-4      0                        4.999999999999999E-4     -2.491649141922297E-10   -7.255627519928501E-15   -1.7128005881951265E-9   0.10711541135050594
3.456444581705141E-4      7.607067792283649E-5     4.3815743185715366E-4    -1.887789895838285E-10   1.0753758407850059E-11   -1.956784003875885E-9    0.10711538253694823
3.615650796254264E-4      1.418021230927283E-4     4.2002292739801313E-4    -2.2066900032581382E-10  4.985548882236723E-12    -1.8999353119692308E-9   0.10711537054857613
3.071046113178577E-4      1.729254135885536E-4     5.0E-4                   -7.863882858583877E-11   1.8953799042306255E-11   -1.8572123163135768E-9   0.10711539900635077
3.162484500425924E-4      1.81024207196156E-4      4.2308668612567107E-4    -1.4454546650362513E-10  -1.2125904398863957E-11  -1.961064895073844E-9    0.10711536906546157
2.8544955783922345E-4     2.8544955783922345E-4    5.000000000000002E-4     -5.764379391166583E-11   -5.7588390310564973E-11  -1.7015554603660331E-9   0.10711538337972216
4.3136845749402206E-4     1.9060891050448056E-4    4.1317305094411977E-4    -3.3149178210123705E-10  8.581181221102753E-12    -1.70532112364588E-9     0.10711537468585601
4.3136845749402206E-4     2.8807346568449543E-4    4.042092911290014E-4     -2.887112483855826E-10   -4.9560454621363224E-11  -1.6349350946379266E-9   0.10711536093350783
5.0E-4                    2.482502536468875E-4     4.228368577448711E-4     -4.192842589360643E-10   1.7948254291268948E-11   -1.4892671986298263E-9   0.10711538991605306
5.0E-4                    2.7433270053110845E-4    3.492145728098862E-4     -3.9766629357935123E-10  -6.665214479619202E-13   -1.633630947141251E-9    0.1071153580288305
